Dataset_id,Public_dataset_id,Data_path,Data_type,Notes_download,Pubmed_id,Disease,Status,Control,Species,Brain_region,Treatment,Sex,Stage,Age,N_cells,Protocol,Methodology,Model,Protocol details,JUST KEEP FOR SEARCH (NO NEED),Notes,
AD020001,GSE160936,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD020001.h5ad,ssREAD,,34767070,AD,Healthy,,Human,Other/combined,,Male,NA,75-90+ years; 77-90+ years,10715,,,NA,,,,
AD020002,GSE160936,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD020002.h5ad,ssREAD,,34767070,AD,Healthy,,Human,Other/combined,,Female,NA,75-90+ years,14908,,,NA,,,,
AD020003,GSE160936,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD020003.h5ad,ssREAD,,34767070,AD,Disease,,Human,Other/combined,,Male,NA,75-90+ years,33224,,,NA,,,,
AD021001,GSE176032,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD021001.h5ad,ssREAD,,34103079,AD,Healthy,,Mouse,Whole brain,,Female,NA,8 months,4417,,,B6129SF2/J,,,,
AD021002,GSE176032,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD021002.h5ad,ssREAD,,34103079,AD,Healthy,,Mouse,Whole brain,,Female,NA,8 months,3344,,,isotype treated 3XTg-AD,,,,
AD021003,GSE176032,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD021003.h5ad,ssREAD,,34103079,AD,Disease,,Mouse,Whole brain,,Female,NA,7 months,9826,,,Triple-transgenic Alzheimer disease (AD) mouse model,,,,
AD022001,GSE165306,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD022001.h5ad,ssREAD,,34021136,AD,Disease,,Mouse,Other/combined,,Male,"""5-6""",24 weeks,17423,,,NA,,,,
AD022002,GSE165306,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD022002.h5ad,ssREAD,,34021136,AD,Disease,,Mouse,Other/combined,,Male,"""5-6""",8 months,8726,,,NA,,,,
AD022003,GSE165306,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD022003.h5ad,ssREAD,,34021136,AD,Disease,,Mouse,Other/combined,,Male,"""5-6""",8 months,39457,,,NA,,,,
AD023001,GSE167497,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD023001.h5ad,ssREAD,,33958804,AD,Healthy,,Mouse,Hippocampus,,Male,0,72-103 years,9055,,,NA,,,,
AD023002,GSE167497,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD023002.h5ad,ssREAD,,33958804,AD,Healthy,,Mouse,Hippocampus,,Female,NA,50-91 years,5208,,,NA,,,,
AD023003,GSE167497,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD023003.h5ad,ssREAD,,33958804,AD,Disease,,Mouse,Hippocampus,,Male,"""5-6""",50-91 years,16411,,,NA,,,,
AD023004,GSE167497,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD023004.h5ad,ssREAD,,33958804,AD,Disease,,Mouse,Hippocampus,,Female,4,50-91 years,25238,,,NA,,,,
AD024001,GSE148822,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD024001.h5ad,ssREAD,,33609158,AD,Healthy,,Human,Occipital lobe,,Male,NA,50-91 years,7364,,,TREM2CV-5XFAD (IgG),,,,
AD024002,GSE148822,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD024002.h5ad,ssREAD,,33609158,AD,Healthy,,Human,Occipital lobe,,Female,NA,,4560,,,TREM2CV-5XFAD (IgG),,,,
AD024003,GSE148822,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD024003.h5ad,ssREAD,,33609158,AD,Healthy,,Human,Occipital lobe,,Female,NA,,50578,,,Trem2-/--5XFAD (IgG),,,,
AD024004,GSE148822,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD024004.h5ad,ssREAD,,33609158,AD,Healthy,,Human,Occipital lobe,,Male,NA,,37508,,,TREM2R47H-5XFAD (IgG),,,,
AD024005,GSE148822,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD024005.h5ad,ssREAD,,33609158,AD,Disease,,Human,Occipital lobe,,Female,4,"mean age 77.6, range 67.3-91 years; 50-91 years",27831,,,TREM2R47H-5XFAD (IgG),,,,
AD024006,GSE148822,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD024006.h5ad,ssREAD,,33609158,AD,Disease,,Human,Occipital lobe,,Male,5,"mean age 77.6, range 67.3-91 years",53127,,,TREM2CV-5XFAD (hT2AB),,,,
AD025001,syn23763409,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD025001.h5ad,ssREAD,,33567283,AD,Healthy,,Mouse,Whole brain,,Female,4,24 weeks,9032,,,B6C3,,,,
AD025002,syn23763409,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD025002.h5ad,ssREAD,,33567283,AD,Disease,,Mouse,Whole brain,,Female,5,8 months,20901,,,APP/PS1 transgenic mice,,,,
AD025003,syn23763409,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD025003.h5ad,ssREAD,,33567283,AD,Disease,,Mouse,Whole brain,,Female,NA,7 months,2373,,,APP/PS1 IL33 mice,,,,
AD026001,GSE146639,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD026001.h5ad,ssREAD,,33192286,AD,Healthy,,Mouse,Other/combined,,Male,NA,7 months,10200,,,B6,,,,
AD026002,GSE146639,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD026002.h5ad,ssREAD,,33192286,AD,Disease,,Mouse,Other/combined,,Male,NA,7 months,19859,,,5XFAD,,,,
AD026003,GSE146639,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD026003.h5ad,ssREAD,,33192286,AD,Disease,,Mouse,Other/combined,,Male,NA,8 months,25255,,,Trem2_KO mice,,,,
AD026004,GSE146639,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD026004.h5ad,ssREAD,,33192286,AD,Disease,,Mouse,Other/combined,,Male,NA,7 months,22860,,,Trem2_KO mice,,,,
AD027001,GSE158234,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD027001.h5ad,ssREAD,,33097708,AD,Healthy,,Human,Cortex,,Male,NA,7 months,1084,,,B6,,,,
AD027002,GSE158234,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD027002.h5ad,ssREAD,,33097708,AD,Disease,,Human,Cortex,,Male,NA,7 months,4867,,,5XFAD,,,,
AD028001,GSE153807,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD028001.h5ad,ssREAD,,32997994,AD,Healthy,,Human,Temporal lobe,,Male,6,75-90+ years,5115,,,NA,,,,
AD028002,GSE153807,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD028002.h5ad,ssREAD,,32997994,AD,Healthy,,Human,Temporal lobe,,Female,6,50-91 years,16076,,,NA,,,,
AD028003,GSE153807,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD028003.h5ad,ssREAD,,32997994,AD,Disease,,Human,Temporal lobe,,Male,6,50-91 years,9574,,,NA,,,,
AD028004,GSE153807,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD028004.h5ad,ssREAD,,32997994,AD,Disease,,Human,Temporal lobe,,Female,6,75-90+ years,9097,,,NA,,,,
AD029001,GSE152867,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD029001.h5ad,ssREAD,,32726626,AD,Healthy,,Mouse,Other/combined,,Female,NA,NA,32961,,,E5487,,,,
AD029002,GSE152867,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD029002.h5ad,ssREAD,,32726626,AD,Disease,,Mouse,Other/combined,,Female,NA,NA,23879,,,E5487,,,,
AD029003,GSE152867,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD029003.h5ad,ssREAD,,32726626,AD,Healthy,,Mouse,Other/combined,,Female,NA,NA,11252,,,E4KI,,,,
AD029004,GSE152867,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD029004.h5ad,ssREAD,,32726626,AD,Disease,,Mouse,Other/combined,,Female,NA,NA,14303,,,E4KI,,,,
AD030001,GSE140511,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD030001.h5ad,ssREAD,,31932797,AD,Healthy,,Mouse,Prefrontal cortex,,Male,NA,NA,18945,,,C57BL/6J; B6,,,,
AD030002,GSE140511,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD030002.h5ad,ssREAD,,31932797,AD,Healthy,,Mouse,Prefrontal cortex,,Male,NA,NA,16375,,,B6,,,,
AD030003,GSE140511,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD030003.h5ad,ssREAD,,31932797,AD,Disease,,Mouse,Prefrontal cortex,,Male,NA,15 months,12353,,,5XFAD,,,,
AD030004,GSE140511,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD030004.h5ad,ssREAD,,31932797,AD,Disease,,Mouse,Prefrontal cortex,,Male,NA,7 months,34943,,,Trem2_KO mice,,,,
AD030005,GSE140511,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD030005.h5ad,ssREAD,,31932797,AD,Disease,,Mouse,Prefrontal cortex,,Male,NA,7 months,24253,,,WT_5XFAD mice,,,,
AD030006,GSE140511,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD030006.h5ad,ssREAD,,31932797,AD,Disease,,Mouse,Prefrontal cortex,,Male,NA,7 months,33778,,,Trem2_KO_5XFAD mice,,,,
AD031001,GSE142267; GSE110741,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD031001.h5ad,ssREAD,,31951107,AD,Healthy,,Mouse,Hippocampus,,Male,"1,2",50-91 years,22315,,,NA,,,,
AD031002,GSE142267; GSE110741,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD031002.h5ad,ssREAD,,31951107,AD,Healthy,,Mouse,Hippocampus,,Female,NA,NA,624,,,NA,,,,
AD031003,GSE142267; GSE110741,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD031003.h5ad,ssREAD,,31951107,AD,Disease,,Mouse,Hippocampus,,Male,NA,NA,15619,,,NA,,,,
AD031004,GSE142267; GSE110741,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD031004.h5ad,ssREAD,,31951107,AD,Disease,,Mouse,Hippocampus,,Female,NA,50-91 years,39058,,,NA,,,,
AD032001,GSE174367,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD032001.h5ad,ssREAD,,34239132,AD,Healthy,,Human,Prefrontal cortex,,Male,NA,NA,8226,,,TREM2CV-5XFAD (IgG),,,,
AD032002,GSE174367,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD032002.h5ad,ssREAD,,34239132,AD,Healthy,,Human,Prefrontal cortex,,Female,NA,77+ years,6658,,,TREM2CV-5XFAD (IgG),,,,
AD032003,GSE174367,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD032003.h5ad,ssREAD,,34239132,AD,Healthy,,Human,Prefrontal cortex,,Female,NA,NA,32061,,,Trem2-/--5XFAD (IgG),,,,
AD032004,GSE174367,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD032004.h5ad,ssREAD,,34239132,AD,Healthy,,Human,Prefrontal cortex,,Male,NA,NA,3296,,,TREM2R47H-5XFAD (IgG),,,,
AD032005,GSE174367,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD032005.h5ad,ssREAD,,34239132,AD,Disease,,Human,Prefrontal cortex,,Female,NA,NA,57044,,,TREM2R47H-5XFAD (IgG),,,,
AD032006,GSE174367,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD032006.h5ad,ssREAD,,34239132,AD,Disease,,Human,Prefrontal cortex,,Male,NA,NA,7195,,,TREM2CV-5XFAD (hT2AB),,,,
AD033001,GSE157985,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD033001.h5ad,ssREAD,,34156424,AD,Healthy,,Mouse,Hippocampus,,Female,NA,8 months,1930,,,E5487,,,,
AD033002,GSE157985,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD033002.h5ad,ssREAD,,34156424,AD,Disease,,Mouse,Hippocampus,,Female,NA,8 months,4546,,,E5487,,,,
AD033003,GSE157985,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD033003.h5ad,ssREAD,,34156424,AD,Disease,,Mouse,Hippocampus,,Female,NA,8 months,65826,,,E4KI,,,,
AD034001,GSE160523,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD034001.h5ad,ssREAD,,33859405,AD,Healthy,,Mouse,Cortex,,Female,NA,8 months,8616,,,5XFAD-R47H,,,,
AD034002,GSE160523,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD034002.h5ad,ssREAD,,33859405,AD,Disease,,Mouse,Cortex,,Female,NA,8 months,27317,,,5XFAD-CV,,,,
AD035001,syn26223298,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD035001.h5ad,ssREAD,,39402379,AD,Healthy,,Human,Middle temporal gyrus,,Female,3,75-90+ years,4482,,,NA,,,,
AD035002,syn26223298,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD035002.h5ad,ssREAD,,39402379,AD,Healthy,,Human,Middle temporal gyrus,,Female,4,75-90+ years,12297,,,NA,,,,
AD035003,syn26223298,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD035003.h5ad,ssREAD,,39402379,AD,Healthy,,Human,Middle temporal gyrus,,Female,5,75-90+ years,27153,,,NA,,,,
AD035004,syn26223298,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD035004.h5ad,ssREAD,,39402379,AD,Healthy,,Human,Middle temporal gyrus,,Female,6,75-90+ years,4263,,,NA,,,,
AD035005,syn26223298,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD035005.h5ad,ssREAD,,39402379,AD,Healthy,,Human,Middle temporal gyrus,,Male,0,75-90+ years,20628,,,NA,,,,
AD035006,syn26223298,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD035006.h5ad,ssREAD,,39402379,AD,Healthy,,Human,Middle temporal gyrus,,Male,2,NA,23100,,,NA,,,,
AD035007,syn26223298,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD035007.h5ad,ssREAD,,39402379,AD,Healthy,,Human,Middle temporal gyrus,,Male,3,NA,7178,,,NA,,,,
AD035008,syn26223298,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD035008.h5ad,ssREAD,,39402379,AD,Healthy,,Human,Middle temporal gyrus,,Male,4,NA,6896,,,NA,,,,
AD035009,syn26223298,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD035009.h5ad,ssREAD,,39402379,AD,Healthy,,Human,Middle temporal gyrus,,Male,5,NA,41870,,,NA,,,,
AD035010,syn26223298,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD035010.h5ad,ssREAD,,39402379,AD,Disease,,Human,Middle temporal gyrus,,Female,2,NA,28067,,,NA,,,,
AD035011,syn26223298,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD035011.h5ad,ssREAD,,39402379,AD,Disease,,Human,Middle temporal gyrus,,Female,4,80+ years,28525,,,NA,,,,
AD035012,syn26223298,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD035012.h5ad,ssREAD,,39402379,AD,Disease,,Human,Middle temporal gyrus,,Female,5,80+ years,56092,,,NA,,,,
AD035013,This data will be filled in later,,,,,,,,,dorsolateral prefrontal cortex,,,,,,,,,,,,
AD036001,GSE173731,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD036001.h5ad,ssREAD,,35158371,AD,Healthy,,Human,Temporal Lobe,,Male,NA,80+ years,15513,,,NA,,,,
AD036002,GSE173731,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD036002.h5ad,ssREAD,,35158371,AD,Disease,,Human,Temporal Lobe,,Female,NA,80+ years,13327,,,NA,,,,
AD036003,GSE173731,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD036003.h5ad,ssREAD,,35158371,AD,Healthy,,Human,Temporal Lobe,,Male,NA,80+ years,29816,,,NA,,,,
AD036004,GSE173731,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD036004.h5ad,ssREAD,,35158371,AD,Disease,,Human,Temporal Lobe,,Female,NA,80+ years,15930,,,NA,,,,
AD037003,GSE202297,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD037003.h5ad,ssREAD,,35760863,AD,Healthy,,Mouse,Whole Brain,,Female,NA,NA,10960,,,E4KI,,,,
AD037004,GSE202297,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD037004.h5ad,ssREAD,,35760863,AD,Disease,,Mouse,Whole Brain,,Female,NA,NA,10620,,,E4KI,,,,
AD037005,GSE202297,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD037005.h5ad,ssREAD,,35760863,AD,Healthy,,Mouse,Whole Brain,,Male,NA,NA,32166,,,C57BL/6J; B6,,,,
AD038001,GSE208683,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD038001.h5ad,ssREAD,,37258678,AD,Healthy,,Mouse,Cortex,,Female,NA,NA,35422,,,E5487,,,,
AD038002,GSE208683,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD038002.h5ad,ssREAD,,37258678,AD,Disease,,Mouse,Cortex,,Female,NA,NA,33130,,,E5487,,,,
AD038003,GSE208683,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD038003.h5ad,ssREAD,,37258678,AD,Healthy,,Mouse,Cortex,,Female,NA,NA,869,,,E4KI,,,,
AD038004,GSE208683,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD038004.h5ad,ssREAD,,37258678,AD,Disease,,Mouse,Cortex,,Female,NA,NA,9737,,,E4KI,,,,
AD038007,GSE208683,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD038007.h5ad,ssREAD,,37258678,AD,Disease,,Mouse,Cortex,,Male,NA,NA,84790,,,5XFAD,,,,
AD039001,GSE178295,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD039001.h5ad,ssREAD,,37258678,AD,Healthy,,Mouse,Cortex,,Female,NA,NA,23355,,,E5487,,,,
AD039002,GSE178295,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD039002.h5ad,ssREAD,,37258678,AD,Disease,,Mouse,Cortex,,Female,NA,NA,6210,,,E5487,,,,
AD039003,GSE178295,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD039003.h5ad,ssREAD,,37258678,AD,Healthy,,Mouse,Cortex,,Female,NA,NA,20400,,,E4KI,,,,
AD039004,GSE178295,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD039004.h5ad,ssREAD,,37258678,AD,Disease,,Mouse,Cortex,,Female,NA,NA,28229,,,E4KI,,,,
AD040001,NG00108,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD040001.h5ad,ssREAD,,37085492,AD,Healthy,,Human,Parietal Lobe,,Male,NA,70+ years,26657,,,NA,,,,
AD040002,NG00108,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD040002.h5ad,ssREAD,,37085492,AD,Disease,,Human,Parietal Lobe,,Female,NA,70+ years,4727,,,NA,,,,
AD040003,NG00108,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD040003.h5ad,ssREAD,,37085492,AD,Healthy,,Human,Parietal Lobe,,Male,NA,70+ years,3743,,,NA,,,,
AD040004,NG00108,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD040004.h5ad,ssREAD,,37085492,AD,Disease,,Human,Parietal Lobe,,Female,NA,70+ years,2609,,,NA,,,,
AD041001,syn22079621,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD041001.h5ad,ssREAD,,37085492,AD,Healthy,,Human,Parietal Lobe,,Male,NA,70+ years,7729,,,NA,,,,
AD041002,syn22079621,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD041002.h5ad,ssREAD,,37085492,AD,Disease,,Human,Parietal Lobe,,Female,NA,70+ years,825,,,NA,,,,
AD041003,syn22079621,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD041003.h5ad,ssREAD,,37085492,AD,Healthy,,Human,Parietal Lobe,,Male,NA,70+ years,20979,,,NA,,,,
AD041004,syn22079621,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD041004.h5ad,ssREAD,,37085492,AD,Disease,,Human,Parietal Lobe,,Female,NA,70+ years,6971,,,NA,,,,
AD042001,GSE181279,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD042001.h5ad,ssREAD,,34447367,AD,Healthy,,Human,Other/Combined,,Male,NA,70+ years,7025,,,NA,,,,
AD042002,GSE181279,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD042002.h5ad,ssREAD,,34447367,AD,Disease,,Human,Other/Combined,,Female,NA,70+ years,2335,,,NA,,,,
AD042003,GSE181279,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD042003.h5ad,ssREAD,,34447367,AD,Healthy,,Human,Other/Combined,,Male,NA,70+ years,28658,,,NA,,,,
AD042004,GSE181279,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD042004.h5ad,ssREAD,,34447367,AD,Disease,,Human,Other/Combined,,Female,NA,70+ years,47174,,,NA,,,,
AD043001,EGAS00001006019,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD043001.h5ad,ssREAD,,35203328,AD,Healthy,,Human,Other/Combined,,Male,NA,70+ years,11658,,,NA,,,,
AD043002,EGAS00001006019,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD043002.h5ad,ssREAD,,35203328,AD,Disease,,Human,Other/Combined,,Female,NA,70+ years,13772,,,NA,,,,
AD043003,EGAS00001006019,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD043003.h5ad,ssREAD,,35203328,AD,Healthy,,Human,Other/Combined,,Male,NA,70+ years,22947,,,NA,,,,
AD043004,EGAS00001006019,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD043004.h5ad,ssREAD,,35203328,AD,Disease,,Human,Other/Combined,,Female,NA,70+ years,3121,,,NA,,,,
AD044001,GSE185553,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD044001.h5ad,ssREAD,,36332572,AD,Healthy,,Human,Hippocampus,,Male,NA,70+ years,32932,,,NA,,,,
AD044002,GSE185553,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD044002.h5ad,ssREAD,,36332572,AD,Disease,,Human,Hippocampus,,Female,NA,70+ years,39303,,,NA,,,,
AD044003,GSE185553,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD044003.h5ad,ssREAD,,36332572,AD,Healthy,,Human,Hippocampus,,Male,NA,70+ years,29050,,,NA,,,,
AD044004,GSE185553,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD044004.h5ad,ssREAD,,36332572,AD,Disease,,Human,Hippocampus,,Female,"1,2",75-90+ years,28174,,,NA,,,,
AD045001,GSE198323,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD045001.h5ad,ssREAD,,36332572,AD,Healthy,,Human,Hippocampus,,Male,NA,75-90+ years,24604,,,NA,,,,
AD045002,GSE198323,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD045002.h5ad,ssREAD,,36332572,AD,Disease,,Human,Hippocampus,,Female,NA,75-90+ years,13054,,,NA,,,,
AD045003,GSE198323,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD045003.h5ad,ssREAD,,36332572,AD,Healthy,,Human,Hippocampus,,Male,NA,75-90+ years,45800,,,NA,,,,
AD045004,GSE198323,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD045004.h5ad,ssREAD,,36332572,AD,Disease,,Human,Hippocampus,,Female,NA,75-90+ years,19293,,,NA,,,,
AD046001,GSE199243,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD046001.h5ad,ssREAD,,36332572,AD,Healthy,,Human,Hippocampus,,Male,NA,75-90+ years,7512,,,NA,,,,
AD046002,GSE199243,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD046002.h5ad,ssREAD,,36332572,AD,Disease,,Human,Hippocampus,,Female,NA,75-90+ years,2642,,,NA,,,,
AD046003,GSE199243,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD046003.h5ad,ssREAD,,36332572,AD,Healthy,,Human,Hippocampus,,Male,NA,75-90+ years,3311,,,NA,,,,
AD046004,GSE199243,/fs/ess/PAS1475/Weidong/ssKIND/scRNA/ssREAD_data/h5ad/AD046004.h5ad,ssREAD,,36332572,AD,Disease,,Human,Hippocampus,,Female,NA,75-90+ years,4756,,,NA,,,,
