Dataset_id,Public_dataset_id,Pubmed_id,Disease,Status,Control,Species,Brain_region,Sex,Stage,Age,N_cells,Protocol,Methodology,Model
MS056044,GSM4285759,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Chronic Experimental Autoimmune Encephalomyelitis (30 dpi),8-12 weeks,353,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS056045,GSM4285760,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Chronic Experimental Autoimmune Encephalomyelitis (30 dpi),8-12 weeks,362,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS056046,GSM4285761,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Chronic Experimental Autoimmune Encephalomyelitis (30 dpi),8-12 weeks,363,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS056047,GSM4285762,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Chronic Experimental Autoimmune Encephalomyelitis (30 dpi),8-12 weeks,370,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS056048,GSM4285763,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,305,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS056049,GSM4285764,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,273,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS056050,GSM4285765,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,211,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS056051,GSM4285766,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,282,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS056052,GSM4285767,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,254,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS056053,GSM4285768,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,294,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS056054,GSM4285769,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,371,MARS-seq,Single-cell RNA sequencing,"C57BL/6 Zbtb46-GFP, Experimental Autoimmune Encephalomyelitis"
MS056055,GSM4285770,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,370,MARS-seq,Single-cell RNA sequencing,"C57BL/6 Zbtb46-GFP, Experimental Autoimmune Encephalomyelitis"
MS056056,GSM4285771,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Chronic Experimental Autoimmune Encephalomyelitis (30 dpi),8-12 weeks,352,MARS-seq,Single-cell RNA sequencing,"C57BL/6 Zbtb46-GFP, Experimental Autoimmune Encephalomyelitis"
MS056057,GSM4285772,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Chronic Experimental Autoimmune Encephalomyelitis (30 dpi),8-12 weeks,303,MARS-seq,Single-cell RNA sequencing,"C57BL/6 Zbtb46-GFP, Experimental Autoimmune Encephalomyelitis"
MS056058,GSM4285773,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,330,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS056059,GSM4285774,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,275,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS056060,GSM4285775,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,358,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS056061,GSM4285776,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,346,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS056062,GSM4285777,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,352,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS056063,GSM4285778,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,361,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS056064,GSM4285779,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,338,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS056065,GSM4285780,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,332,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS056066,GSM4285781,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,357,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS056067,GSM4285782,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,356,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS056068,GSM4285783,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,355,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS056069,GSM4285784,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,357,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS056070,GSM4285785,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,357,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS056071,GSM4285786,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,345,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS056072,GSM4285787,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,204,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis, Adoptive transfer of MDPs from CD45.1/1 mice and monocytes from GFP mice"
MS056073,GSM4285788,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,240,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis, Adoptive transfer of MDPs from CD45.1/1 mice and monocytes from GFP mice"
MS056074,GSM4285789,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,310,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis, Adoptive transfer of GMPs from GFP mice"
MS056075,GSM4285790,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,232,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis, Adoptive transfer of monocytes from GFP mice 6 days post EAE immunization"
MS056076,GSM4285791,32313246,MS,Disease,No,Mouse,Spinal cord,Female,Acute Experimental Autoimmune Encephalomyelitis (16 dpi),8-12 weeks,146,MARS-seq,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis, Adoptive transfer of cMoPs from GFP mice"
MS060001,GSM4365517,32284594,MS,Disease,No MS060005; MS060006,Mouse,Spinal cord,Female,Onset Experimental Autoimmune Encephalomyelitis ,10 weeks ,1613,10x Genomics,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS060002,GSM4365518,32284594,MS,Disease,No MS060005; MS060006,Mouse,Spinal cord,Female,Onset Experimental Autoimmune Encephalomyelitis ,10 weeks ,1745,10x Genomics,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS060003,GSM4365519,32284594,MS,Disease,No MS060005; MS060006,Mouse,Spinal cord,Female,Onset Experimental Autoimmune Encephalomyelitis ,10 weeks ,1530,10x Genomics,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS060004,GSM4365520,32284594,MS,Disease,No MS060005; MS060006,Mouse,Spinal cord,Female,Onset Experimental Autoimmune Encephalomyelitis ,10 weeks ,2233,10x Genomics,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS060005,GSM4365521,32284594,MS,Healthy,Yes,Mouse,Spinal cord,Female,no data available,10 weeks ,1755,10x Genomics,Single-cell RNA sequencing,C57BL/6
MS060006,GSM4365522,32284594,MS,Healthy,Yes,Mouse,Spinal cord,Female,no data available,10 weeks ,202,10x Genomics,Single-cell RNA sequencing,C57BL/6
MS062001,"GSM5603823,GSM5603825",34707603,MS,mixed,No,Mouse,Spinal cord,Female,no data available,no data available,1288,10x Genomics,Single-cell RNA sequencing,"C57BL/6, p38alphaf/f Cre- (WT), p38alphaCKOCx3cr1-ER, Experimental Autoimmune Encephalomyelitis, tamoxifen"
MS062002,"GSM5603827,GSM5603828,GSM5603829,GSM5603830,GSM5603831,GSM5603832",34707603,MS,mixed,No,Mouse,Spinal cord,Male,no data available,no data available,2040,10x Genomics,Single-cell RNA sequencing,"C57BL/6, p38alphaf/f Cre- (WT), p38alphaCKOCx3cr1-ER, Experimental Autoimmune Encephalomyelitis, tamoxifen"
MS063001,GSM4726540,40574973,MS,Disease,No,Mouse,Brainstem and spinal cord,no data available,Acute Experimental Autoimmune Encephalomyelitis,no data available,5236,10x Genomics,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS063002,GSM4726541,40574973,MS,Disease,No,Mouse,Brainstem and spinal cord,no data available,Acute Experimental Autoimmune Encephalomyelitis,no data available,5538,10x Genomics,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS063003,GSM4726542,40574973,MS,Disease,No,Mouse,Brainstem and spinal cord,no data available,Chronic Experimental Autoimmune Encephalomyelitis,no data available,4492,10x Genomics,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS063004,GSM4726543,40574973,MS,Disease,No,Mouse,Brainstem and spinal cord,no data available,Chronic Experimental Autoimmune Encephalomyelitis,no data available,5364,10x Genomics,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS065001,GSM7780658,39088391,MS,Disease,No,Mouse,Central nervous system,no data available,no data available,no data available,12456,10x Genomics,Single-cell RNA sequencing,"C57BL/6, Stat4fl/flCD11cCre, Experimental Autoimmune Encephalomyelitis"
MS065002,GSM7780659,39088391,MS,Disease,No,Mouse,Central nervous system,no data available,no data available,no data available,13586,10x Genomics,Single-cell RNA sequencing,"C57BL/6, Experimental Autoimmune Encephalomyelitis"
MS066001,GSM5503740,38933267,MS,Disease,No,Mouse,Cerebrospinal fluid and mELT (meningeal leukocyte tissue),Male,no data available,no data available,1441,10x Genomics,Single-cell RNA sequencing,"Thx2D2, Experimental Autoimmune Encephalomyelitis"
MS066005,GSM5503743,38933267,MS,Disease,No,Mouse,Cerebrospinal fluid and mELT (meningeal leukocyte tissue),Female,no data available,no data available,2681,10x Genomics,Single-cell RNA sequencing,"Thx2D2, Experimental Autoimmune Encephalomyelitis"
MS066008,GSM5503746,38933267,MS,Disease,No,Mouse,Cerebrospinal fluid and mELT (meningeal leukocyte tissue),Male,no data available,no data available,2703,10x Genomics,Single-cell RNA sequencing,"Thx2D2, Experimental Autoimmune Encephalomyelitis"
MS066011,GSM5503749,38933267,MS,Disease,No,Mouse,Cerebrospinal fluid and mELT (meningeal leukocyte tissue),Male,no data available,no data available,1882,10x Genomics,Single-cell RNA sequencing,"Thx2D2, Experimental Autoimmune Encephalomyelitis"
MS066014,GSM5503752,38933267,MS,Disease,No,Mouse,Cerebrospinal fluid and mELT (meningeal leukocyte tissue),Female,no data available,no data available,3523,10x Genomics,Single-cell RNA sequencing,"Thx2D2, Experimental Autoimmune Encephalomyelitis"
MS066017,GSM5503755,38933267,MS,Disease,No,Mouse,Cerebrospinal fluid and mELT (meningeal leukocyte tissue),Female,no data available,no data available,4544,10x Genomics,Single-cell RNA sequencing,"Thx2D2, Experimental Autoimmune Encephalomyelitis"
MS067001,GSM5504566,38100739,MS,Disease,No,Mouse,Meningeal Ectopic Lymphoid Tissue from spinal cord,Male,no data available,no data available,6874,10x Genomics,Single-cell RNA sequencing,"2D2xTh, Experimental Autoimmune Encephalomyelitis"
MS067002,GSM5504567,38100739,MS,Disease,No,Mouse,Lumbar lymph node,Male,no data available,no data available,3828,10x Genomics,Single-cell RNA sequencing,"2D2xTh, Experimental Autoimmune Encephalomyelitis"
MS067003,GSM5504568,38100739,MS,Disease,No,Mouse,Meningeal Ectopic Lymphoid Tissue from spinal cord,Male,no data available,no data available,1924,10x Genomics,Single-cell RNA sequencing,"2D2xTh, Experimental Autoimmune Encephalomyelitis"
MS067004,GSM5504569,38100739,MS,Disease,No,Mouse,Lumbar lymph node,Male,no data available,no data available,8082,10x Genomics,Single-cell RNA sequencing,"2D2xTh, Experimental Autoimmune Encephalomyelitis"
MS067005,GSM5504570,38100739,MS,Disease,No,Mouse,Meningeal Ectopic Lymphoid Tissue from spinal cord,Male,no data available,no data available,2623,10x Genomics,Single-cell RNA sequencing,"2D2xTh, Experimental Autoimmune Encephalomyelitis"
MS067006,GSM5504571,38100739,MS,Disease,No,Mouse,Lumbar lymph node,Male,no data available,no data available,3184,10x Genomics,Single-cell RNA sequencing,"2D2xTh, Experimental Autoimmune Encephalomyelitis"
MS067007,"GSM5536807,GSM5536808,GSM5536809",38100739,MS,Disease,No,Mouse,"Cerebrospinal fluid, meningeal ectopic lymphoid tissue",Male,no data available,no data available,25000,10x Genomics,Single-cell RNA sequencing,"2D2xTh, Experimental Autoimmune Encephalomyelitis"
MS067008,"GSM5536810,GSM5536811,GSM5536812",38100739,MS,Disease,No,Mouse,"Cerebrospinal fluid, meningeal ectopic lymphoid tissue",Female,no data available,no data available,22572,10x Genomics,Single-cell RNA sequencing,"2D2xTh, Experimental Autoimmune Encephalomyelitis"
MS067009,"GSM5536813,GSM5536814,GSM5536815",38100739,MS,Disease,No,Mouse,"Cerebrospinal fluid, meningeal ectopic lymphoid tissue",Female,no data available,no data available,24255,10x Genomics,Single-cell RNA sequencing,"2D2xTh, Experimental Autoimmune Encephalomyelitis"
MS068001,GSM5827377,37414380,MS,Healthy,Yes,Human,Cerebrospinal fluid,Male,no data available,20 years ,,10x Genomics,Single-cell RNA sequencing,
MS068002,GSM5827378,37414380,MS,Healthy,Yes,Human,Peripheral Blood Mononuclear Cell,Male,no data available,20 years ,,10x Genomics,Single-cell RNA sequencing,
MS068003,GSM5827379,37414380,MS,Disease,No MS068001; MS068007,Human,Cerebrospinal fluid,Female,no data available,47 years,,10x Genomics,Single-cell RNA sequencing,
MS068004,GSM5827380,37414380,MS,Disease,No MS068002; MS068008,Human,Peripheral Blood Mononuclear Cell,Female,no data available,47 years,,10x Genomics,Single-cell RNA sequencing,
MS068005,GSM5827383,37414380,MS,Disease,No MS068001; MS068007,Human,Cerebrospinal fluid,Male,no data available,25 years,,10x Genomics,Single-cell RNA sequencing,
MS068006,GSM5827384,37414380,MS,Disease,No MS068002; MS068008,Human,Peripheral Blood Mononuclear Cell,Male,no data available,25 years,,10x Genomics,Single-cell RNA sequencing,
MS068007,GSM5827387,37414380,MS,Healthy,Yes,Human,Cerebrospinal fluid,Female,no data available,55 years,,10x Genomics,Single-cell RNA sequencing,
MS068008,GSM5827388,37414380,MS,Healthy,Yes,Human,Peripheral Blood Mononuclear Cell,Female,no data available,55 years,,10x Genomics,Single-cell RNA sequencing,
MS068009,GSM5827395,37414380,MS,Disease,No MS068001; MS068007,Human,Cerebrospinal fluid,Female,no data available,31 years,,10x Genomics,Single-cell RNA sequencing,
MS068010,GSM5827396,37414380,MS,Disease,No MS068002; MS068008,Human,Peripheral Blood Mononuclear Cell,Female,no data available,31 years,,10x Genomics,Single-cell RNA sequencing,
MS069001,GSM7439052,37339207,MS,Disease,No,Human,Peripheral Blood Mononuclear Cell,Female,Relapsing–remitting,63 years,,10x Genomics,Single-cell RNA sequencing,
MS069002,GSM7439053,37339207,MS,Disease,No,Human,Peripheral Blood Mononuclear Cell,Female,Relapsing–remitting,63 years,,10x Genomics,Single-cell RNA sequencing,
MS069003,GSM7439054,37339207,MS,Disease,No,Human,Peripheral Blood Mononuclear Cell,Female,Relapsing–remitting,40 years,,10x Genomics,Single-cell RNA sequencing,
MS069004,GSM7439055,37339207,MS,Disease,No,Human,Peripheral Blood Mononuclear Cell,Female,Relapsing–remitting,40 years,,10x Genomics,Single-cell RNA sequencing,
MS069005,GSM7439056,37339207,MS,Disease,No,Human,Peripheral Blood Mononuclear Cell,Female,Relapsing–remitting,45 years,,10x Genomics,Single-cell RNA sequencing,
MS069006,GSM7439057,37339207,MS,Disease,No,Human,Peripheral Blood Mononuclear Cell,Female,Relapsing–remitting,45 years,,10x Genomics,Single-cell RNA sequencing,
MS069007,GSM7439058,37339207,MS,Disease,No,Human,Peripheral Blood Mononuclear Cell,Female,Relapsing–remitting,55 years,,10x Genomics,Single-cell RNA sequencing,
MS069008,GSM7439059,37339207,MS,Disease,No,Human,Cerebrospinal fluid,Female,Relapsing–remitting,55 years,,10x Genomics,Single-cell RNA sequencing,
MS069009,GSM7439060,37339207,MS,Disease,No,Human,Peripheral Blood Mononuclear Cell,Female,Relapsing–remitting,26 years,,10x Genomics,Single-cell RNA sequencing,
MS069010,GSM7439061,37339207,MS,Disease,No,Human,Cerebrospinal fluid,Female,Relapsing–remitting,26 years,,10x Genomics,Single-cell RNA sequencing,
MS070001,GSM7111364,37062182,MS,Disease,No,Human,Cerebrospinal fluid,no data available,Relapsing–remitting,no data available,,10x Genomics,Single-cell RNA sequencing,
MS070002,GSM7111365,37062182,MS,Disease,No,Human,Peripheral Blood Mononuclear Cell,no data available,Relapsing–remitting,no data available,,10x Genomics,Single-cell RNA sequencing,
MS070003,GSM7111366,37062182,MS,Disease,No,Human,Cerebrospinal fluid,no data available,Relapsing–remitting,no data available,,10x Genomics,Single-cell RNA sequencing,
MS070004,GSM7111367,37062182,MS,Disease,No,Human,Peripheral Blood Mononuclear Cell,no data available,Relapsing–remitting,no data available,,10x Genomics,Single-cell RNA sequencing,
MS071001,GSM6424225,36730207,MS,Disease,No,Mouse,Central nervous system,no data available,no data available,no data available,7245,10x Genomics,Single-cell RNA sequencing,"C57BL/6 CD45.1+ > CD45.2+ Bone Marrow Chimera Mice, Experimental Autoimmune Encephalomyelitis"
MS071002,GSM6424226,36730207,MS,Disease,No,Mouse,Central nervous system,no data available,no data available,no data available,23166,10x Genomics,Single-cell RNA sequencing,"C57BL/6 CD45.1+ > CD45.2+ Bone Marrow Chimera Mice, Experimental Autoimmune Encephalomyelitis"
MS072001,GSM5973615,36446612,MS,Disease,No MS072003; MS072005; MS072007; MS072008; MS072010; MS072011,Mouse,"brain, spinal cord",no data available,Peak Experimental Autoimmune Encephalomyelitis ,no data available,5184,10x Genomics,Single-cell RNA sequencing,Experimental Autoimmune Encephalomyelitis
MS072002,GSM5973616,36446612,MS,Disease,No MS072003; MS072005; MS072007; MS072008; MS072010; MS072011,Mouse,"brain, spinal cord",no data available,Peak Experimental Autoimmune Encephalomyelitis,no data available,6512,10x Genomics,Single-cell RNA sequencing,Experimental Autoimmune Encephalomyelitis
MS072003,GSM5973617,36446612,MS,Healthy,Yes,Mouse,"brain, spinal cord",no data available,no data available,no data available,6203,10x Genomics,Single-cell RNA sequencing,
MS072004,GSM5973618,36446612,MS,Disease,No MS072003; MS072005; MS072007; MS072008; MS072010; MS072011,Mouse,"brain, spinal cord",no data available,Peak Experimental Autoimmune Encephalomyelitis,no data available,5078,10x Genomics,Single-cell RNA sequencing,Experimental Autoimmune Encephalomyelitis
MS072005,GSM5973619,36446612,MS,Healthy,Yes,Mouse,"brain, spinal cord",no data available,no data available,no data available,5716,10x Genomics,Single-cell RNA sequencing,
MS072006,GSM5973620,36446612,MS,Disease,No MS072003; MS072005; MS072007; MS072008; MS072010; MS072011,Mouse,"brain, spinal cord",no data available,Peak Experimental Autoimmune Encephalomyelitis,no data available,9838,10x Genomics,Single-cell RNA sequencing,Experimental Autoimmune Encephalomyelitis
MS072007,GSM5973621,36446612,MS,Healthy,Yes,Mouse,"brain, spinal cord",no data available,no data available,no data available,4307,10x Genomics,Single-cell RNA sequencing,
MS072008,GSM5973622,36446612,MS,Healthy,Yes,Mouse,"brain, spinal cord",no data available,no data available,no data available,7983,10x Genomics,Single-cell RNA sequencing,
MS072009,GSM5973623,36446612,MS,Disease,No MS072003; MS072005; MS072007; MS072008; MS072010; MS072011,Mouse,"brain, spinal cord",no data available,Peak Experimental Autoimmune Encephalomyelitis,no data available,9868,10x Genomics,Single-cell RNA sequencing,Experimental Autoimmune Encephalomyelitis
MS072010,GSM5973624,36446612,MS,Healthy,Yes,Mouse,"brain, spinal cord",no data available,no data available,no data available,9950,10x Genomics,Single-cell RNA sequencing,
MS072011,GSM5973625,36446612,MS,Healthy,Yes,Mouse,"brain, spinal cord",no data available,no data available,no data available,9963,10x Genomics,Single-cell RNA sequencing,
MS073001,GSM5538188,36001972,MS,Disease,No,Mouse,Corpus Callosum,no data available,Lysolecithin-induced lesion (Baseline),3-4 months,8285,10x Genomics,Single-cell RNA sequencing,"C57BL/6, Lysolecithin-induced demyelination"
MS073002,GSM5538189,36001972,MS,Disease,No,Mouse,Corpus Callosum,no data available,Lysolecithin-induced lesion (5 dpi),3-4 months,4668,10x Genomics,Single-cell RNA sequencing,"C57BL/6, Lysolecithin-induced demyelination"
MS073003,GSM5538190,36001972,MS,Disease,No,Mouse,Corpus Callosum,no data available,Lysolecithin-induced lesion (Baseline),3-4 months,7799,10x Genomics,Single-cell RNA sequencing,"C57BL/6, Lysolecithin-induced demyelination"
MS073004,GSM5538191,36001972,MS,Disease,No,Mouse,Corpus Callosum,no data available,Lysolecithin-induced lesion (5 dpi),3-4 months,2577,10x Genomics,Single-cell RNA sequencing,"C57BL/6, Lysolecithin-induced demyelination"
MS073005,GSM5538192,36001972,MS,Disease,No,Mouse,Corpus Callosum,no data available,Lysolecithin-induced lesion (14 dpi),3-4 months,4290,10x Genomics,Single-cell RNA sequencing,"C57BL/6, Lysolecithin-induced demyelination"
MS073006,GSM5538193,36001972,MS,Disease,No,Mouse,Corpus Callosum,no data available,Lysolecithin-induced lesion (28 dpi),3-4 months,4142,10x Genomics,Single-cell RNA sequencing,"C57BL/6, Lysolecithin-induced demyelination"
MS073007,GSM5538194,36001972,MS,Disease,No,Mouse,Corpus Callosum,no data available,Lysolecithin-induced lesion (5 dpi),3-4 months,4851,10x Genomics,Single-cell RNA sequencing,"C57BL/6, Lysolecithin-induced demyelination"
MS073008,GSM5538195,36001972,MS,Disease,No,Mouse,Corpus Callosum,no data available,Lysolecithin-induced lesion (28 dpi),3-4 months,7090,10x Genomics,Single-cell RNA sequencing,"C57BL/6, Lysolecithin-induced demyelination"
MS073009,GSM5538196,36001972,MS,Disease,No,Mouse,Corpus Callosum,no data available,Lysolecithin-induced lesion (Baseline),3-4 months,7593,10x Genomics,Single-cell RNA sequencing,"C57BL/6, Lysolecithin-induced demyelination"
MS073010,GSM5538197,36001972,MS,Disease,No,Mouse,Corpus Callosum,no data available,Lysolecithin-induced lesion (5 dpi),3-4 months,9093,10x Genomics,Single-cell RNA sequencing,"C57BL/6, Lysolecithin-induced demyelination"
MS073011,GSM5538198,36001972,MS,Disease,No,Mouse,Corpus Callosum,no data available,Lysolecithin-induced lesion (14 dpi),3-4 months,7944,10x Genomics,Single-cell RNA sequencing,"C57BL/6, Lysolecithin-induced demyelination"
MS073012,GSM5538199,36001972,MS,Disease,No,Mouse,Corpus Callosum,no data available,Lysolecithin-induced lesion (28 dpi),3-4 months,7077,10x Genomics,Single-cell RNA sequencing,"C57BL/6, Lysolecithin-induced demyelination"
MS074002,GSM5671168,34873037,MS,Disease,No,Mouse,Spinal cord,no data available,no data available,no data available,0,10x Genomics,Single-cell RNA sequencing,"C57BL/6, Tnfr2-/-, Experimental Autoimmune Encephalomyelitis"
MS075001,GSM5379855,34479995,MS,Disease,No,Mouse,"Spinal cord meninges , Spinal cord parenchyma
,Spinal cord meninges
.Spinal cord parenchyma",no data available,no data available,8-14 weeks,19617,10x Genomics,Single-cell RNA sequencing,"Donor: 2D2tg (=wt), Recipient: C57BL/6, Adoptive Transfer EAE, Recipient of wt-Th17 cells"
MS076001,GSM3659281,31566584,MS,Disease,Yes,Human,Cerebrospinal fluid,Female,no data available,22-50 years,,Smart-seq2,Single-cell RNA sequencing,
MS077001,GSM3717013,32051591,MS,Disease,MS077009; MS077015,Mouse,Central nervous system,Male,Priming (early disease stage),74-96 days,1158,Drop-seq,Single-cell RNA sequencing,"C57BL/6J, Experimental Autoimmune Encephalomyelitis"
MS077002,GSM3717014,32051591,MS,Disease,MS077009; MS077015,Mouse,Central nervous system,Male,Priming (early disease stage),74-96 days,1691,Drop-seq,Single-cell RNA sequencing,"C57BL/6J, Experimental Autoimmune Encephalomyelitis"
MS077003,GSM3717015,32051591,MS,Disease,MS077009; MS077015,Mouse,Central nervous system,Male,Priming (early disease stage),74-96 days,1571,Drop-seq,Single-cell RNA sequencing,"C57BL/6J, Experimental Autoimmune Encephalomyelitis"
MS077004,GSM3717016,32051591,MS,non-ND control,Yes,Mouse,Central nervous system,Male,no data available,74-96 days,1836,Drop-seq,Single-cell RNA sequencing,"C57BL/6J, Complete Freund’s Adjuvant"
MS077005,GSM3717017,32051591,MS,Disease,MS077009; MS077015,Mouse,Central nervous system,Male,Peak Experimental Autoimmune Encephalomyelitis ,74-96 days,1227,Drop-seq,Single-cell RNA sequencing,"C57BL/6J, Experimental Autoimmune Encephalomyelitis"
MS077006,GSM3717018,32051591,MS,Disease,MS077009; MS077015,Mouse,Central nervous system,Male,Peak Experimental Autoimmune Encephalomyelitis ,74-96 days,2291,Drop-seq,Single-cell RNA sequencing,"C57BL/6J, Experimental Autoimmune Encephalomyelitis"
